Experiment,Feature-Set,Model,Train-Day,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Friday,BOT,1966,500000,416288,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Friday,DDOS,128027,500000,542349,98.2054,63.5171,77.141
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Friday,PORTSCAN,158930,500000,573252,8.7224,0.0893,0.1769
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,INFILTRATION,36,500000,456788,0.0141,2.7778,0.0281
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,WEB ATTACK - BRUTE FORCE,1507,500000,458259,0.0141,0.0664,0.0233
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,WEB ATTACK - SQL INJECTION,21,500000,456773,0.0141,4.7619,0.0281
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,WEB ATTACK - XSS,652,500000,457404,0.2673,2.9141,0.4897
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,INFILTRATION,36,500000,456788,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,WEB ATTACK - BRUTE FORCE,1507,500000,458259,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,WEB ATTACK - SQL INJECTION,21,500000,456773,0.4644,14.2857,0.8996
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,WEB ATTACK - XSS,652,500000,457404,2.7231,2.7607,2.7418
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Tuesday,FTP-PATATOR,7938,500000,440012,31.1482,49.8614,38.3434
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Tuesday,SSH-PATATOR,5897,500000,437971,0.2395,0.3561,0.2864
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Tuesday,FTP-PATATOR,7938,500000,440012,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Tuesday,SSH-PATATOR,5897,500000,437971,0.0877,0.0678,0.0765
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Friday,BOT,1966,500000,416288,0.0,0.0,0.0
